Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,061078,1983,11,14.4,Y
IDCJAC0004,061078,1983,12,16.0,Y
IDCJAC0004,061078,1984,01,17.6,Y
IDCJAC0004,061078,1984,02,18.0,Y
IDCJAC0004,061078,1984,03,14.3,Y
IDCJAC0004,061078,1984,04,13.2,Y
IDCJAC0004,061078,1984,05,8.7,Y
IDCJAC0004,061078,1984,06,7.6,Y
IDCJAC0004,061078,1984,07,6.9,Y
IDCJAC0004,061078,1984,08,6.8,Y
IDCJAC0004,061078,1984,09,7.7,Y
IDCJAC0004,061078,1984,10,11.9,Y
IDCJAC0004,061078,1984,11,14.9,Y
IDCJAC0004,061078,1984,12,15.7,Y
IDCJAC0004,061078,1985,01,16.6,Y
IDCJAC0004,061078,1985,02,17.4,Y
IDCJAC0004,061078,1985,03,15.6,Y
IDCJAC0004,061078,1985,04,14.0,Y
IDCJAC0004,061078,1985,05,11.1,Y
IDCJAC0004,061078,1985,06,6.6,Y
IDCJAC0004,061078,1985,07,6.5,Y
IDCJAC0004,061078,1985,08,6.4,Y
IDCJAC0004,061078,1985,09,8.7,Y
IDCJAC0004,061078,1985,10,12.3,Y
IDCJAC0004,061078,1985,11,15.1,Y
IDCJAC0004,061078,1985,12,17.1,Y
IDCJAC0004,061078,1986,01,16.9,Y
IDCJAC0004,061078,1986,02,17.4,Y
IDCJAC0004,061078,1986,03,15.9,Y
IDCJAC0004,061078,1986,04,12.3,Y
IDCJAC0004,061078,1986,05,10.7,Y
IDCJAC0004,061078,1986,06,6.6,Y
IDCJAC0004,061078,1986,07,5.9,Y
IDCJAC0004,061078,1986,08,5.9,Y
IDCJAC0004,061078,1986,09,9.3,Y
IDCJAC0004,061078,1986,10,10.8,Y
IDCJAC0004,061078,1986,11,13.1,Y
IDCJAC0004,061078,1986,12,14.8,Y
IDCJAC0004,061078,1987,01,19.2,Y
IDCJAC0004,061078,1987,02,18.5,Y
IDCJAC0004,061078,1987,03,15.2,Y
IDCJAC0004,061078,1987,04,12.5,Y
IDCJAC0004,061078,1987,05,10.3,Y
IDCJAC0004,061078,1987,06,8.1,Y
IDCJAC0004,061078,1987,07,5.2,Y
IDCJAC0004,061078,1987,08,8.9,Y
IDCJAC0004,061078,1987,09,8.2,Y
IDCJAC0004,061078,1987,10,11.7,Y
IDCJAC0004,061078,1987,11,13.6,Y
IDCJAC0004,061078,1987,12,16.7,Y
IDCJAC0004,061078,1988,01,18.3,Y
