Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1975,09,100.6,Y
IDCJAC0001,061078,1975,10,45.6,Y
IDCJAC0001,061078,1975,11,41.1,Y
IDCJAC0001,061078,1975,12,77.8,Y
IDCJAC0001,061078,1976,01,193.2,Y
IDCJAC0001,061078,1976,02,157.9,Y
IDCJAC0001,061078,1976,03,237.0,Y
IDCJAC0001,061078,1976,04,136.6,Y
IDCJAC0001,061078,1976,05,96.6,Y
IDCJAC0001,061078,1976,06,95.8,Y
IDCJAC0001,061078,1976,07,83.2,Y
IDCJAC0001,061078,1976,08,38.0,Y
IDCJAC0001,061078,1976,09,38.2,Y
IDCJAC0001,061078,1976,10,237.5,Y
IDCJAC0001,061078,1976,11,39.8,Y
IDCJAC0001,061078,1976,12,28.8,Y
IDCJAC0001,061078,1977,01,36.2,Y
IDCJAC0001,061078,1977,02,172.0,Y
IDCJAC0001,061078,1977,03,213.0,Y
IDCJAC0001,061078,1977,04,47.8,Y
IDCJAC0001,061078,1977,05,212.2,Y
IDCJAC0001,061078,1977,06,70.2,Y
IDCJAC0001,061078,1977,07,34.6,Y
IDCJAC0001,061078,1977,08,15.4,Y
IDCJAC0001,061078,1977,09,135.8,Y
IDCJAC0001,061078,1977,10,32.6,Y
IDCJAC0001,061078,1977,11,31.6,Y
IDCJAC0001,061078,1977,12,30.8,Y
IDCJAC0001,061078,1978,01,325.4,Y
IDCJAC0001,061078,1978,02,23.8,Y
IDCJAC0001,061078,1978,03,349.1,Y
IDCJAC0001,061078,1978,04,53.7,Y
IDCJAC0001,061078,1978,05,117.0,Y
IDCJAC0001,061078,1978,06,209.0,Y
IDCJAC0001,061078,1978,07,16.6,Y
IDCJAC0001,061078,1978,08,91.4,Y
IDCJAC0001,061078,1978,09,142.2,Y
IDCJAC0001,061078,1978,10,122.4,Y
IDCJAC0001,061078,1978,11,80.2,Y
IDCJAC0001,061078,1978,12,135.6,Y
IDCJAC0001,061078,1979,01,53.4,Y
IDCJAC0001,061078,1979,02,6.6,Y
IDCJAC0001,061078,1979,03,124.2,Y
IDCJAC0001,061078,1979,04,37.0,Y
IDCJAC0001,061078,1979,05,205.4,Y
IDCJAC0001,061078,1979,06,136.0,Y
IDCJAC0001,061078,1979,07,102.2,Y
IDCJAC0001,061078,1979,08,7.4,Y
IDCJAC0001,061078,1979,09,35.2,Y
IDCJAC0001,061078,1979,10,39.6,Y
IDCJAC0001,061078,1979,11,24.6,Y
IDCJAC0001,061078,1979,12,17.0,Y
IDCJAC0001,061078,1980,01,52.4,Y
IDCJAC0001,061078,1980,02,29.0,Y
IDCJAC0001,061078,1980,03,61.0,Y
IDCJAC0001,061078,1980,04,9.4,Y
IDCJAC0001,061078,1980,05,94.4,Y
IDCJAC0001,061078,1980,06,88.0,Y
IDCJAC0001,061078,1980,07,54.8,Y
IDCJAC0001,061078,1980,08,23.0,Y
IDCJAC0001,061078,1980,09,0.8,Y
IDCJAC0001,061078,1980,10,40.0,Y
IDCJAC0001,061078,1980,11,32.6,Y
IDCJAC0001,061078,1980,12,55.6,Y
IDCJAC0001,061078,1981,01,11.6,Y
IDCJAC0001,061078,1981,02,301.2,Y
IDCJAC0001,061078,1981,03,16.2,Y
IDCJAC0001,061078,1981,04,65.6,Y
IDCJAC0001,061078,1981,05,187.8,Y
IDCJAC0001,061078,1981,06,101.4,Y
IDCJAC0001,061078,1981,07,24.8,Y
IDCJAC0001,061078,1981,08,14.4,Y
IDCJAC0001,061078,1981,09,15.8,Y
IDCJAC0001,061078,1981,10,166.6,Y
IDCJAC0001,061078,1981,11,125.4,Y
IDCJAC0001,061078,1981,12,65.8,Y
IDCJAC0001,061078,1982,01,90.2,Y
IDCJAC0001,061078,1982,02,85.4,Y
IDCJAC0001,061078,1982,03,231.6,Y
IDCJAC0001,061078,1982,04,22.0,Y
IDCJAC0001,061078,1982,05,5.0,Y
IDCJAC0001,061078,1982,06,132.6,Y
IDCJAC0001,061078,1982,07,168.4,Y
IDCJAC0001,061078,1982,08,9.6,Y
IDCJAC0001,061078,1982,09,142.8,Y
IDCJAC0001,061078,1982,10,71.4,Y
IDCJAC0001,061078,1982,11,13.0,Y
IDCJAC0001,061078,1982,12,22.2,Y
IDCJAC0001,061078,1983,01,56.0,Y
IDCJAC0001,061078,1983,02,45.4,Y
IDCJAC0001,061078,1983,03,129.0,Y
